epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,258.592,0.51193,0.22771,0.0058,0.99601,1,0.995,0.91571,0.50099,0.14412,0.00605,0.00014633,0.00014633,0.00014633
138,260.347,0.55701,0.24175,0.00629,0.99635,1,0.995,0.90495,0.53956,0.15277,0.00652,0.000136898,0.000136898,0.000136898
139,262.11,0.5421,0.27226,0.00662,0.99643,1,0.995,0.87937,0.60102,0.164,0.00728,0.000127467,0.000127467,0.000127467
140,263.893,0.5181,0.21596,0.00602,0.99628,1,0.995,0.88201,0.6033,0.16699,0.00727,0.000118035,0.000118035,0.000118035
141,288.511,0.44259,0.19504,0.00575,0.9963,1,0.995,0.89155,0.58007,0.16027,0.00701,0.000108604,0.000108604,0.000108604
142,290.342,0.42576,0.18334,0.00563,0.9964,1,0.995,0.88537,0.53635,0.15194,0.00649,9.91726e-05,9.91726e-05,9.91726e-05
143,292.109,0.4319,0.18427,0.0055,0.99712,1,0.995,0.90396,0.51122,0.14619,0.0061,8.97412e-05,8.97412e-05,8.97412e-05
144,293.944,0.43479,0.18506,0.00599,0.99716,1,0.995,0.90953,0.51037,0.14736,0.00618,8.03098e-05,8.03098e-05,8.03098e-05
145,295.659,0.43046,0.18969,0.0057,0.99717,1,0.995,0.89252,0.53156,0.15104,0.00647,7.08784e-05,7.08784e-05,7.08784e-05
146,297.39,0.42262,0.18058,0.00579,0.99713,1,0.995,0.89657,0.55977,0.15665,0.00692,6.1447e-05,6.1447e-05,6.1447e-05
147,299.238,0.44689,0.19235,0.00612,0.99699,1,0.995,0.88489,0.5676,0.15886,0.00706,5.20156e-05,5.20156e-05,5.20156e-05
148,301.031,0.42828,0.19858,0.00567,0.99666,1,0.995,0.8951,0.56325,0.15833,0.00698,4.25842e-05,4.25842e-05,4.25842e-05
149,302.791,0.41196,0.17691,0.00559,0.9966,1,0.995,0.89555,0.55618,0.15659,0.00681,3.31528e-05,3.31528e-05,3.31528e-05
150,304.543,0.42979,0.19251,0.00564,0.99681,1,0.995,0.89761,0.55121,0.15406,0.00671,2.37214e-05,2.37214e-05,2.37214e-05
